x,EVTYPE,Categories
434,TSTM WIND DAMAGE,THUNDERSTORM
435,TSTM WIND G45,THUNDERSTORM
436,TSTM WIND G58,THUNDERSTORM
437,TSTM WIND/HAIL,THUNDERSTORM
438,TSTM WINDS,THUNDERSTORM
439,TSTMW,THUNDERSTORM
440,TSUNAMI,TSUNAMI
441,TUNDERSTORM WIND,THUNDERSTORM
442,TYPHOON,HURRICANE/TYPHOON
443,Unseasonable Cold,COLD
444,UNSEASONABLY COLD,COLD
445,UNSEASONABLY WARM,DROUGHT/HEAT
446,UNSEASONABLY WARM AND DRY,DROUGHT/HEAT
447,UNSEASONAL RAIN,RAIN
448,URBAN AND SMALL,FLOOD
449,URBAN AND SMALL STREAM FLOODIN,FLOOD
450,URBAN FLOOD,FLOOD
451,URBAN FLOODING,FLOOD
452,URBAN FLOODS,FLOOD
453,URBAN SMALL,FLOOD
454,URBAN/SMALL STREAM,FLOOD
455,URBAN/SMALL STREAM FLOOD,FLOOD
456,URBAN/SML STREAM FLD,FLOOD
457,VOLCANIC ASH,VOLCANIC ASH
458,WARM WEATHER,DROUGHT/HEAT
459,WATERSPOUT,TORNADO
460,WATERSPOUT-,TORNADO
461,WATERSPOUT-TORNADO,TORNADO
462,WATERSPOUT TORNADO,TORNADO
463,WATERSPOUT/ TORNADO,TORNADO
464,WATERSPOUT/TORNADO,TORNADO
465,WET MICROBURST,WIND
466,Whirlwind,WIND
467,WHIRLWIND,WIND
468,WILD FIRES,WILDFIRE
469,WILD/FOREST FIRE,WILDFIRE
470,WILD/FOREST FIRES,WILDFIRE
471,WILDFIRE,WILDFIRE
472,WILDFIRES,WILDFIRE
473,Wind,WIND
474,WIND,WIND
475,WIND AND WAVE,WIND
476,Wind Damage,WIND
477,WIND DAMAGE,WIND
478,WIND STORM,WIND
479,WIND/HAIL,WIND
480,WINDS,WIND
481,WINTER STORM,WINTER WEATHER
482,WINTER STORM HIGH WINDS,WINTER WEATHER
483,WINTER STORMS,WINTER WEATHER
484,WINTER WEATHER,WINTER WEATHER
485,WINTER WEATHER MIX,WINTER WEATHER
486,WINTER WEATHER/MIX,WINTER WEATHER
487,Wintry Mix,WINTER WEATHER
488,WINTRY MIX,WINTER WEATHER
